drug_name,excp_name,excp_drug_ratio,class
Sorafenib,caffeine,1,0
Sorafenib,succinic_acid,1,0
Sorafenib,DL-malic_acid,1,0
Sorafenib,adipic_acid,1,0
Sorafenib,Triazabicyclodecene,1,0
Sorafenib,DBU,1,0
Sorafenib,L-asparagine,1,0
Sorafenib,theobromine,1,0
Sorafenib,"3,3'-thiodipropionic_acid",1,0
Sorafenib,theophylline,1,0
Sorafenib,borneol,1,0
Sorafenib,cinnamaldehyde,1,0
Sorafenib,aspartame,1,0
Sorafenib,squalene,1,0
Sorafenib,benzaldehyde,1,0
Sorafenib,sodium_deoxycholate,1,1
Sorafenib,sucrose_octaacetate,1,0
Sorafenib,trans_anethole,1,0
Sorafenib,terpinyl_butyrate,1,0
Sorafenib,hydrocortisone,1,0
Sorafenib,neohesperidin_DC,1,0
Sorafenib,diclofenac,1,0
Sorafenib,eucalyptol,1,0
Sorafenib,beta_carotene,1,0
Sorafenib,menthol,1,0
Sorafenib,alpha-terpineol,1,0
Sorafenib,fenchyl_alcohol,1,0
Sorafenib,biotin,1,0
Sorafenib,xylitol,1,0
Sorafenib,trans-cinnamic_acid,1,0
Sorafenib,thimerosal,1,0
Sorafenib,tyramine,1,0
Sorafenib,fumaric_acid,1,0
Sorafenib,vanillin,1,0
Sorafenib,saccharin,1,0
Sorafenib,allantoin,1,0
Sorafenib,vitamin_A_palmitate,1,0
Sorafenib,acetylcholine_chloride,1,0
Sorafenib,dibutyl_phthalate,1,0
Sorafenib,trometamol,1,0
Sorafenib,benzoyl_peroxide,1,0
Sorafenib,triethyl_citrate,1,0
Sorafenib,triacetin,1,0
Sorafenib,glycerol,1,1
Sorafenib,propylene_glycol,1,0
Sorafenib,mebendazole,1,0
Sorafenib,L-proline,1,0
Sorafenib,L-lysine,1,0
Sorafenib,L-ascorbic_acid,1,0
Sorafenib,stearic_acid,1,0
Sorafenib,(R)-(+)-Limonene,1,0
Sorafenib,meglumine,1,0
Sorafenib,hydrochlorothiazide,1,0
Sorafenib,ketoprofen,1,0
Sorafenib,memantine_hydrochloride,1,0
Sorafenib,naproxen_sodium,1,0
Sorafenib,D-sorbitol,1,0
Sorafenib,rhodamine_B,1,0
Sorafenib,moxifloxacin,1,0
Sorafenib,ciprofloxacin,1,0
Sorafenib,certirizine,1,0
Sorafenib,etidronic_acid,1,0
Sorafenib,emtricitabine,1,0
Sorafenib,metoprolol(+)-tartrate,1,0
Sorafenib,phenytoin,1,0
Sorafenib,propranolol_hydrochloride,1,0
Sorafenib,captan,1,0
Sorafenib,alendronate_sodium,1,0
Sorafenib,piroxicam,1,0
Sorafenib,desipramine_hydrochloride,1,0
Sorafenib,nadolol,1,0
Sorafenib,omeprazole,1,0
Sorafenib,labetalol_hydrochloride,1,0
Sorafenib,risperidone,1,0
Sorafenib,fluconazole,1,0
Sorafenib,methotrexate_hydrate,1,0
Sorafenib,tenofovir_alafenamide,1,0
Sorafenib,carbamazepine,1,0
Lumefantrine,caffeine,1,0
Lumefantrine,succinic_acid,1,0
Lumefantrine,octyl_gallate,1,0
Lumefantrine,DL-malic_acid,1,0
Lumefantrine,adipic_acid,1,0
Lumefantrine,Triazabicyclodecene,1,0
Lumefantrine,DBU,1,0
Lumefantrine,L-asparagine,1,0
Lumefantrine,theobromine,1,0
Lumefantrine,"3,3'-thiodipropionic_acid",1,0
Lumefantrine,theophylline,1,0
Lumefantrine,borneol,1,0
Lumefantrine,cinnamaldehyde,1,0
Lumefantrine,aspartame,1,0
Lumefantrine,squalene,1,0
Lumefantrine,benzaldehyde,1,0
Lumefantrine,sodium_deoxycholate,1,1
Lumefantrine,cholic_acid,1,0
Lumefantrine,glycocholic_acid,1,1
Lumefantrine,sucrose_octaacetate,1,0
Lumefantrine,trans_anethole,1,1
Lumefantrine,indomethacin,1,1
Lumefantrine,terpinyl_butyrate,1,0
Lumefantrine,hydrocortisone,1,0
Lumefantrine,candesartan_cilexetil,1,1
Lumefantrine,neohesperidin_DC,1,0
Lumefantrine,ursodiol,1,0
Lumefantrine,diclofenac,1,0
Lumefantrine,eucalyptol,1,0
Lumefantrine,beta_carotene,1,0
Lumefantrine,menthol,1,0
Lumefantrine,alpha-terpineol,1,0
Lumefantrine,fenchyl_alcohol,1,0
Lumefantrine,biotin,1,0
Lumefantrine,xylitol,1,0
Lumefantrine,trans-cinnamic_acid,1,0
Lumefantrine,thimerosal,1,0
Lumefantrine,tyramine,1,0
Lumefantrine,fumaric_acid,1,0
Lumefantrine,congo_red,1,1
Lumefantrine,vanillin,1,0
Lumefantrine,saccharin,1,0
Lumefantrine,allantoin,1,0
Lumefantrine,vitamin_A_palmitate,1,1
Lumefantrine,acetylcholine_chloride,1,0
Lumefantrine,dibutyl_phthalate,1,0
Lumefantrine,trometamol,1,0
Lumefantrine,benzoyl_peroxide,1,0
Lumefantrine,triethyl_citrate,1,0
Lumefantrine,triacetin,1,0
Lumefantrine,glycerol,1,0
Lumefantrine,propylene_glycol,1,0
Lumefantrine,mebendazole,1,0
Lumefantrine,L-proline,1,0
Lumefantrine,L-lysine,1,0
Lumefantrine,L-ascorbic_acid,1,0
Lumefantrine,stearic_acid,1,0
Lumefantrine,(R)-(+)-Limonene,1,0
Lumefantrine,meglumine,1,0
Lumefantrine,hydrochlorothiazide,1,0
Lumefantrine,ketoprofen,1,0
Lumefantrine,memantine_hydrochloride,1,0
Lumefantrine,naproxen_sodium,1,0
Lumefantrine,D-sorbitol,1,0
Lumefantrine,tannic_acid,1,0
Lumefantrine,rhodamine_B,1,0
Lumefantrine,moxifloxacin,1,0
Lumefantrine,ciprofloxacin,1,0
Lumefantrine,certirizine,1,0
Lumefantrine,budesonide,1,0
Lumefantrine,etidronic_acid,1,0
Lumefantrine,emtricitabine,1,0
Lumefantrine,metoprolol(+)-tartrate,1,0
Lumefantrine,phenytoin,1,0
Lumefantrine,propranolol_hydrochloride,1,0
Lumefantrine,captan,1,0
Lumefantrine,neotame,1,0
Lumefantrine,alendronate_sodium,1,0
Lumefantrine,piroxicam,1,0
Lumefantrine,desipramine_hydrochloride,1,0
Lumefantrine,nadolol,1,0
Lumefantrine,omeprazole,1,0
Lumefantrine,labetalol_hydrochloride,1,0
Lumefantrine,prednisone,1,0
Lumefantrine,risperidone,1,0
Lumefantrine,fluconazole,1,0
Lumefantrine,methotrexate_hydrate,1,0
Lumefantrine,tenofovir_alafenamide,1,0
Lumefantrine,carbamazepine,1,0
Atovaquone,caffeine,1,0
Atovaquone,succinic_acid,1,0
Atovaquone,octyl_gallate,1,1
Atovaquone,DL-malic_acid,1,0
Atovaquone,adipic_acid,1,0
Atovaquone,Triazabicyclodecene,1,0
Atovaquone,DBU,1,0
Atovaquone,L-asparagine,1,0
Atovaquone,theobromine,1,0
Atovaquone,"3,3'-thiodipropionic_acid",1,0
Atovaquone,theophylline,1,0
Atovaquone,borneol,1,0
Atovaquone,cinnamaldehyde,1,0
Atovaquone,aspartame,1,0
Atovaquone,squalene,1,0
Atovaquone,benzaldehyde,1,0
Atovaquone,sodium_deoxycholate,1,0
Atovaquone,cholic_acid,1,0
Atovaquone,glycocholic_acid,1,0
Atovaquone,sucrose_octaacetate,1,1
Atovaquone,trans_anethole,1,0
Atovaquone,indomethacin,1,0
Atovaquone,terpinyl_butyrate,1,1
Atovaquone,hydrocortisone,1,0
Atovaquone,candesartan_cilexetil,1,0
Atovaquone,neohesperidin_DC,1,0
Atovaquone,ursodiol,1,0
Atovaquone,diclofenac,1,0
Atovaquone,eucalyptol,1,0
Atovaquone,beta_carotene,1,0
Atovaquone,menthol,1,0
Atovaquone,alpha-terpineol,1,0
Atovaquone,fenchyl_alcohol,1,0
Atovaquone,biotin,1,0
Atovaquone,xylitol,1,0
Atovaquone,trans-cinnamic_acid,1,0
Atovaquone,thimerosal,1,0
Atovaquone,tyramine,1,0
Atovaquone,fumaric_acid,1,0
Atovaquone,congo_red,1,1
Atovaquone,vanillin,1,0
Atovaquone,saccharin,1,0
Atovaquone,allantoin,1,0
Atovaquone,vitamin_A_palmitate,1,1
Atovaquone,acetylcholine_chloride,1,0
Atovaquone,dibutyl_phthalate,1,1
Atovaquone,trometamol,1,0
Atovaquone,benzoyl_peroxide,1,1
Atovaquone,triethyl_citrate,1,0
Atovaquone,triacetin,1,0
Atovaquone,glycerol,1,0
Atovaquone,propylene_glycol,1,0
Atovaquone,mebendazole,1,0
Atovaquone,L-proline,1,0
Atovaquone,L-lysine,1,0
Atovaquone,L-ascorbic_acid,1,0
Atovaquone,stearic_acid,1,0
Atovaquone,(R)-(+)-Limonene,1,0
Atovaquone,meglumine,1,0
Atovaquone,hydrochlorothiazide,1,0
Atovaquone,ketoprofen,1,0
Atovaquone,memantine_hydrochloride,1,0
Atovaquone,naproxen_sodium,1,0
Atovaquone,D-sorbitol,1,0
Atovaquone,tannic_acid,1,0
Atovaquone,rhodamine_B,1,0
Atovaquone,moxifloxacin,1,0
Atovaquone,ciprofloxacin,1,0
Atovaquone,certirizine,1,0
Atovaquone,budesonide,1,1
Atovaquone,etidronic_acid,1,0
Atovaquone,emtricitabine,1,0
Atovaquone,metoprolol(+)-tartrate,1,0
Atovaquone,phenytoin,1,0
Atovaquone,propranolol_hydrochloride,1,1
Atovaquone,captan,1,0
Atovaquone,neotame,1,0
Atovaquone,alendronate_sodium,1,0
Atovaquone,piroxicam,1,0
Atovaquone,desipramine_hydrochloride,1,1
Atovaquone,nadolol,1,0
Atovaquone,omeprazole,1,0
Atovaquone,labetalol_hydrochloride,1,0
Atovaquone,prednisone,1,0
Atovaquone,risperidone,1,1
Atovaquone,fluconazole,1,0
Atovaquone,methotrexate_hydrate,1,0
Atovaquone,tenofovir_alafenamide,1,0
Atovaquone,carbamazepine,1,0
Nelfinavir,caffeine,1,0
Nelfinavir,succinic_acid,1,0
Nelfinavir,DL-malic_acid,1,0
Nelfinavir,adipic_acid,1,0
Nelfinavir,Triazabicyclodecene,1,0
Nelfinavir,DBU,1,0
Nelfinavir,L-asparagine,1,0
Nelfinavir,theobromine,1,0
Nelfinavir,"3,3'-thiodipropionic_acid",1,0
Nelfinavir,theophylline,1,0
Nelfinavir,borneol,1,0
Nelfinavir,cinnamaldehyde,1,0
Nelfinavir,aspartame,1,0
Nelfinavir,squalene,1,0
Nelfinavir,benzaldehyde,1,0
Nelfinavir,sodium_deoxycholate,1,0
Nelfinavir,sucrose_octaacetate,1,0
Nelfinavir,trans_anethole,1,0
Nelfinavir,terpinyl_butyrate,1,0
Nelfinavir,hydrocortisone,1,0
Nelfinavir,neohesperidin_DC,1,0
Nelfinavir,diclofenac,1,0
Nelfinavir,eucalyptol,1,0
Nelfinavir,beta_carotene,1,0
Nelfinavir,menthol,1,0
Nelfinavir,alpha-terpineol,1,0
Nelfinavir,fenchyl_alcohol,1,0
Nelfinavir,biotin,1,0
Nelfinavir,xylitol,1,0
Nelfinavir,trans-cinnamic_acid,1,0
Nelfinavir,thimerosal,1,0
Nelfinavir,tyramine,1,0
Nelfinavir,fumaric_acid,1,0
Nelfinavir,vanillin,1,0
Nelfinavir,saccharin,1,0
Nelfinavir,allantoin,1,0
Nelfinavir,vitamin_A_palmitate,1,0
Nelfinavir,acetylcholine_chloride,1,0
Nelfinavir,dibutyl_phthalate,1,0
Nelfinavir,trometamol,1,0
Nelfinavir,benzoyl_peroxide,1,0
Nelfinavir,triethyl_citrate,1,0
Nelfinavir,triacetin,1,1
Nelfinavir,glycerol,1,0
Nelfinavir,propylene_glycol,1,0
Nelfinavir,mebendazole,1,0
Nelfinavir,L-proline,1,1
Nelfinavir,L-lysine,1,1
Nelfinavir,L-ascorbic_acid,1,0
Nelfinavir,stearic_acid,1,0
Nelfinavir,(R)-(+)-Limonene,1,0
Nelfinavir,meglumine,1,0
Nelfinavir,hydrochlorothiazide,1,1
Nelfinavir,ketoprofen,1,0
Nelfinavir,memantine_hydrochloride,1,1
Nelfinavir,naproxen_sodium,1,1
Nelfinavir,D-sorbitol,1,0
Nelfinavir,rhodamine_B,1,0
Nelfinavir,moxifloxacin,1,0
Nelfinavir,ciprofloxacin,1,0
Nelfinavir,certirizine,1,0
Nelfinavir,etidronic_acid,1,0
Nelfinavir,emtricitabine,1,0
Nelfinavir,metoprolol(+)-tartrate,1,1
Nelfinavir,phenytoin,1,0
Nelfinavir,propranolol_hydrochloride,1,0
Nelfinavir,captan,1,1
Nelfinavir,alendronate_sodium,1,1
Nelfinavir,piroxicam,1,1
Nelfinavir,desipramine_hydrochloride,1,1
Nelfinavir,nadolol,1,0
Nelfinavir,omeprazole,1,0
Nelfinavir,labetalol_hydrochloride,1,1
Nelfinavir,risperidone,1,1
Nelfinavir,fluconazole,1,1
Nelfinavir,methotrexate_hydrate,1,1
Nelfinavir,tenofovir_alafenamide,1,1
Nelfinavir,carbamazepine,1,1
Gefitinib,caffeine,1,0
Gefitinib,succinic_acid,1,0
Gefitinib,DL-malic_acid,1,0
Gefitinib,adipic_acid,1,0
Gefitinib,Triazabicyclodecene,1,0
Gefitinib,DBU,1,0
Gefitinib,L-asparagine,1,0
Gefitinib,theobromine,1,0
Gefitinib,"3,3'-thiodipropionic_acid",1,0
Gefitinib,theophylline,1,0
Gefitinib,borneol,1,0
Gefitinib,cinnamaldehyde,1,0
Gefitinib,aspartame,1,0
Gefitinib,squalene,1,0
Gefitinib,benzaldehyde,1,0
Gefitinib,sodium_deoxycholate,1,0
Gefitinib,sucrose_octaacetate,1,0
Gefitinib,trans_anethole,1,0
Gefitinib,terpinyl_butyrate,1,0
Gefitinib,hydrocortisone,1,0
Gefitinib,neohesperidin_DC,1,0
Gefitinib,diclofenac,1,0
Gefitinib,eucalyptol,1,0
Gefitinib,beta_carotene,1,0
Gefitinib,menthol,1,0
Gefitinib,alpha-terpineol,1,0
Gefitinib,fenchyl_alcohol,1,0
Gefitinib,biotin,1,0
Gefitinib,xylitol,1,0
Gefitinib,trans-cinnamic_acid,1,0
Gefitinib,thimerosal,1,0
Gefitinib,tyramine,1,0
Gefitinib,fumaric_acid,1,0
Gefitinib,vanillin,1,0
Gefitinib,saccharin,1,0
Gefitinib,allantoin,1,0
Gefitinib,vitamin_A_palmitate,1,0
Gefitinib,acetylcholine_chloride,1,0
Gefitinib,dibutyl_phthalate,1,0
Gefitinib,trometamol,1,0
Gefitinib,benzoyl_peroxide,1,0
Gefitinib,triethyl_citrate,1,0
Gefitinib,triacetin,1,0
Gefitinib,glycerol,1,0
Gefitinib,propylene_glycol,1,0
Gefitinib,mebendazole,1,0
Gefitinib,L-proline,1,0
Gefitinib,L-lysine,1,0
Gefitinib,L-ascorbic_acid,1,0
Gefitinib,stearic_acid,1,0
Gefitinib,(R)-(+)-Limonene,1,0
Gefitinib,meglumine,1,0
Gefitinib,hydrochlorothiazide,1,0
Gefitinib,ketoprofen,1,0
Gefitinib,memantine_hydrochloride,1,0
Gefitinib,naproxen_sodium,1,0
Gefitinib,D-sorbitol,1,0
Gefitinib,rhodamine_B,1,0
Gefitinib,moxifloxacin,1,0
Gefitinib,ciprofloxacin,1,0
Gefitinib,certirizine,1,0
Gefitinib,etidronic_acid,1,0
Gefitinib,emtricitabine,1,0
Gefitinib,metoprolol(+)-tartrate,1,0
Gefitinib,phenytoin,1,0
Gefitinib,propranolol_hydrochloride,1,0
Gefitinib,captan,1,0
Gefitinib,alendronate_sodium,1,0
Gefitinib,piroxicam,1,0
Gefitinib,desipramine_hydrochloride,1,0
Gefitinib,nadolol,1,0
Gefitinib,omeprazole,1,0
Gefitinib,labetalol_hydrochloride,1,0
Gefitinib,risperidone,1,0
Gefitinib,fluconazole,1,0
Gefitinib,methotrexate_hydrate,1,0
Gefitinib,tenofovir_alafenamide,1,0
Gefitinib,carbamazepine,1,0
Fulvestrant,caffeine,1,0
Fulvestrant,succinic_acid,1,0
Fulvestrant,DL-malic_acid,1,0
Fulvestrant,adipic_acid,1,0
Fulvestrant,Triazabicyclodecene,1,0
Fulvestrant,DBU,1,0
Fulvestrant,L-asparagine,1,0
Fulvestrant,theobromine,1,0
Fulvestrant,"3,3'-thiodipropionic_acid",1,1
Fulvestrant,theophylline,1,0
Fulvestrant,borneol,1,0
Fulvestrant,cinnamaldehyde,1,0
Fulvestrant,aspartame,1,0
Fulvestrant,squalene,1,0
Fulvestrant,benzaldehyde,1,0
Fulvestrant,sodium_deoxycholate,1,1
Fulvestrant,sucrose_octaacetate,1,0
Fulvestrant,trans_anethole,1,1
Fulvestrant,terpinyl_butyrate,1,0
Fulvestrant,hydrocortisone,1,0
Fulvestrant,neohesperidin_DC,1,0
Fulvestrant,diclofenac,1,0
Fulvestrant,eucalyptol,1,0
Fulvestrant,beta_carotene,1,1
Fulvestrant,menthol,1,0
Fulvestrant,alpha-terpineol,1,0
Fulvestrant,fenchyl_alcohol,1,0
Fulvestrant,biotin,1,0
Fulvestrant,xylitol,1,0
Fulvestrant,trans-cinnamic_acid,1,0
Fulvestrant,thimerosal,1,0
Fulvestrant,tyramine,1,0
Fulvestrant,fumaric_acid,1,0
Fulvestrant,vanillin,1,0
Fulvestrant,saccharin,1,0
Fulvestrant,allantoin,1,0
Fulvestrant,vitamin_A_palmitate,1,1
Fulvestrant,acetylcholine_chloride,1,0
Fulvestrant,dibutyl_phthalate,1,0
Fulvestrant,trometamol,1,0
Fulvestrant,benzoyl_peroxide,1,0
Fulvestrant,triethyl_citrate,1,0
Fulvestrant,triacetin,1,0
Fulvestrant,glycerol,1,0
Fulvestrant,propylene_glycol,1,0
Fulvestrant,mebendazole,1,0
Fulvestrant,L-proline,1,0
Fulvestrant,L-lysine,1,0
Fulvestrant,L-ascorbic_acid,1,0
Fulvestrant,stearic_acid,1,0
Fulvestrant,(R)-(+)-Limonene,1,0
Fulvestrant,meglumine,1,0
Fulvestrant,hydrochlorothiazide,1,0
Fulvestrant,ketoprofen,1,0
Fulvestrant,memantine_hydrochloride,1,0
Fulvestrant,naproxen_sodium,1,0
Fulvestrant,D-sorbitol,1,0
Fulvestrant,rhodamine_B,1,0
Fulvestrant,moxifloxacin,1,0
Fulvestrant,ciprofloxacin,1,0
